CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
subaru,gas,turbo,4,sedan,,,97.0,172.0,65.4,54.3,2510.0,ohcf,4.0,108.0,mpfi,7.7,111.0,4800,24,29,11259
subaru,gas,std,4,wagon,,,97.0,173.5,65.4,53.0,,ohcf,4.0,108.0,2bbl,9.0,82.0,4800,28,32,7463
subaru,gas,std,4,wagon,,,97.0,173.5,65.4,53.0,,ohcf,4.0,108.0,mpfi,9.0,94.0,5200,25,31,10198
subaru,gas,std,4,wagon,,,96.9,173.6,65.4,54.9,,ohcf,4.0,108.0,2bbl,9.0,82.0,4800,23,29,8013
subaru,gas,turbo,4,wagon,,,96.9,173.6,65.4,54.9,,ohcf,4.0,108.0,mpfi,7.7,111.0,4800,23,23,11694
toyota,gas,std,2,hatchback,,,95.7,158.7,63.6,54.5,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,35,39,5348
toyota,gas,std,2,hatchback,,,95.7,158.7,63.6,54.5,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,31,38,6338
toyota,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,31,38,6488
toyota,gas,std,4,wagon,fwd,front,,169.7,63.6,59.1,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,31,37,6918
toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,27,32,7898
toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,,ohc,4.0,92.0,2bbl,9.0,62.0,4800,27,32,8778
buick,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,,ohc,5.0,183.0,idi,21.5,123.0,4350,22,25,31600
buick,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,,ohcv,8.0,234.0,mpfi,8.3,155.0,4750,16,18,34184
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,30,37,6938
toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,30,37,7198
toyota,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,,ohc,4.0,110.0,idi,22.5,56.0,4500,34,36,7898
toyota,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,,ohc,4.0,110.0,idi,22.5,56.0,4500,38,47,7788
toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,,ohc,4.0,98.0,2bbl,9.0,70.0,4800,38,47,7738
