Longitude,Latitude,TotalRooms,TotalBedrooms,Population,Households,HousingMedianAge,MedianIncome,OceanProximity,TargetMedianHouseValue,TargetLogistic,TargetSoftmax
-122.69,38.34,2846,516,1526,492,23,3.733,<1H OCEAN,163500,0,1
-117.28,32.83,2392,653,933,619,34,3.7306,NEAR OCEAN,500000,1,2
-122.04,37.31,2476,434,1217,416,29,6.2045,<1H OCEAN,393800,1,2
-117.07,32.91,2234,256,894,253,5,10.3354,<1H OCEAN,477600,1,2
-117.92,33.83,382,86,272,81,17,1.425,<1H OCEAN,212500,1,1
-122.26,37.77,1670,350,793,299,52,2.9732,NEAR BAY,282100,1,2
-122.3,38.33,4741,956,2043,856,15,4.1862,NEAR BAY,183600,1,1
-118.33,33.84,1364,251,668,245,36,5.3131,<1H OCEAN,314100,1,2
-118.3,33.76,9659,1716,4336,1674,18,5.7764,<1H OCEAN,290500,1,2
-118.29,34.36,503,99,275,68,34,4.5491,INLAND,375000,1,2
-121.87,37.34,1170,215,604,207,52,2.6667,<1H OCEAN,325900,1,2
-119.38,36.56,1180,222,611,212,25,2.0729,INLAND,84700,0,0
-117.09,32.65,3509,985,2359,899,25,2.6296,NEAR OCEAN,150000,0,1
-118.45,34.02,2956,700,1212,645,41,3.4583,<1H OCEAN,421900,1,2
-119.95,37.47,1312,315,600,265,32,1.5,INLAND,91500,0,0
-122.48,38.32,2106,533,1141,445,42,3.1129,<1H OCEAN,149300,0,1
-119.22,34.26,2596,625,1403,562,16,3.4018,NEAR OCEAN,145200,0,1
-117.7,33.63,3038,473,1501,436,23,5.5584,<1H OCEAN,241700,1,2
-118.28,33.96,882,221,697,189,39,1.8472,<1H OCEAN,99100,0,0
-118.99,35.39,2805,573,1325,522,52,2.5083,INLAND,70100,0,0
-117.8,34.15,7876,1253,3699,1162,14,5.5423,INLAND,248700,1,2
-120.42,34.94,2844,551,1337,516,32,2.7188,<1H OCEAN,133700,0,0
-121.34,38.03,2707,433,1200,380,12,4.9861,INLAND,133500,0,0
-122.17,39.92,1566,306,652,287,16,1.9038,INLAND,60800,0,0
-122.07,37.34,1208,198,495,216,33,5.4659,<1H OCEAN,500001,1,2
-118.17,33.84,1853,328,945,320,45,5.0787,<1H OCEAN,219200,1,1
-118.3,34,1296,246,853,238,52,3.05,<1H OCEAN,111600,0,0
-121.83,37.26,2394,403,1393,409,11,5.5875,<1H OCEAN,259300,1,2
-118.49,34,3407,1071,1463,986,32,3.0369,<1H OCEAN,500001,1,2
-118.17,33.96,3297,1066,5027,1041,25,2.2817,<1H OCEAN,164200,0,1
-118.2,34.07,1353,380,1688,367,21,1.9937,<1H OCEAN,139600,0,0
-121.6,39.77,1503,343,699,296,26,1.875,INLAND,84000,0,0
-119.16,34.28,5330,1056,2801,1028,11,4.763,NEAR OCEAN,232700,1,1
-118.22,33.9,1802,496,2096,468,40,2.3542,<1H OCEAN,97900,0,0
-117.8,33.67,2638,521,1179,480,5,5.7759,<1H OCEAN,240000,1,2
-117.9,33.76,2678,702,3262,685,26,3.6953,<1H OCEAN,176800,0,1
-119.71,34.42,1838,692,851,576,52,1.4851,<1H OCEAN,237500,1,2
-123.26,41.86,2344,532,1117,424,25,2.7222,INLAND,64600,0,0
-121.58,37.02,2303,471,1447,467,27,3.2019,INLAND,203600,1,1
-121.25,38.72,6838,941,3166,926,15,5.2177,INLAND,162700,0,1
-118.28,34.09,790,275,664,194,38,3.0357,<1H OCEAN,175000,0,1
-118.18,34.1,1116,267,435,235,8,4.9231,<1H OCEAN,230900,1,1
-119.78,36.73,1377,319,1280,259,52,1.2344,INLAND,43300,0,0
-118.43,34.01,1487,242,675,247,43,5.3403,<1H OCEAN,489800,1,2
-118.23,33.93,2065,532,2015,535,39,0.8478,<1H OCEAN,104900,0,0
-118.71,34.29,2983,406,1203,381,24,6.3236,<1H OCEAN,302000,1,2
-120.64,35.47,416,121,936,97,8,2.1154,<1H OCEAN,117200,0,0
-120.38,34.96,2813,492,1144,490,9,4.0431,<1H OCEAN,226800,1,1
-122.1,37.61,2361,458,1727,467,35,4.5281,NEAR BAY,173600,0,1
-118.45,34.02,1230,201,565,219,45,6.3521,<1H OCEAN,493400,1,2
-122.5,37.97,6526,1902,5917,1812,25,2.7273,NEAR BAY,187500,1,1
-118.43,34.24,1416,261,995,272,35,3.7143,<1H OCEAN,178700,1,1
-118.16,33.91,1806,408,1146,374,41,2.9643,<1H OCEAN,162200,0,1
-118.41,34.02,4702,1472,2636,1334,19,3.3955,<1H OCEAN,225000,1,1
-117.07,32.61,5016,1331,3222,1196,22,2.1441,NEAR OCEAN,135500,0,0
-117.04,34,4624,852,2174,812,21,3.5255,INLAND,132100,0,0
-118.15,34.09,1935,460,1456,382,27,2.8062,<1H OCEAN,192800,1,1
-117.93,34.12,294,67,266,80,36,3.5385,INLAND,134400,0,0
-121.57,39.76,1384,257,557,232,20,2.0882,INLAND,104900,0,0
-117.87,33.7,3648,654,2266,628,21,5.0956,<1H OCEAN,246000,1,2
-122.28,37.88,957,188,403,172,52,3.2344,NEAR BAY,245500,1,2
-117.71,33.51,2198,252,883,281,11,13.1477,<1H OCEAN,487000,1,2
-117.19,32.77,2747,640,3185,657,30,3.765,NEAR OCEAN,238000,1,2
-122.47,37.79,437,105,194,87,52,2.8125,NEAR BAY,500001,1,2
-122.26,37.85,2643,626,1212,620,52,1.9167,NEAR BAY,159200,0,1
-123.58,39.66,1839,489,887,332,15,2.2429,<1H OCEAN,100000,0,0
-120.84,35.31,3100,603,1515,609,23,2.8493,NEAR OCEAN,196100,1,1
-118.41,34,324,70,268,73,38,2.55,<1H OCEAN,271400,1,2
-117.66,33.62,5175,799,2717,813,16,6.1493,<1H OCEAN,257800,1,2
-121.09,38.97,1467,221,688,231,13,5.2536,INLAND,191900,1,1
-122.44,37.8,1603,487,727,464,52,3.9856,NEAR BAY,500001,1,2
-118.3,33.78,2572,504,1172,519,35,4.6207,<1H OCEAN,304100,1,2
-121.93,37.04,1522,230,677,206,36,5.8642,<1H OCEAN,363500,1,2
-116.93,32.83,1283,278,684,289,21,2.3203,<1H OCEAN,163500,0,1
-120.59,38.53,432,87,208,73,15,3.6125,INLAND,100000,0,0
-118.04,33.93,1045,239,1165,230,36,3.1979,<1H OCEAN,161800,0,1
-117.04,32.64,2329,542,1213,514,5,4.0298,NEAR OCEAN,225600,1,1
-118.06,33.83,1973,516,1112,501,17,3.8512,<1H OCEAN,163800,0,1
-117.61,33.43,1150,383,604,317,33,2.3545,NEAR OCEAN,187500,1,1
-117.02,36.4,619,239,490,164,19,2.1,INLAND,14999,0,0
-118.07,34,1392,351,1471,348,42,2.63,<1H OCEAN,143800,0,1
-118.1,33.9,1151,248,809,246,35,4.7813,<1H OCEAN,160000,0,1
-116.94,32.83,1701,317,872,304,38,3.7831,<1H OCEAN,147800,0,1
-118.3,33.96,2112,417,1161,368,47,3.9722,<1H OCEAN,117400,0,0
-122.53,37.98,2390,336,810,354,32,8.5759,NEAR BAY,500001,1,2
-117.62,33.43,3858,1062,2321,873,27,3.3155,NEAR OCEAN,231000,1,1
-117.37,33.95,2215,351,771,311,32,4.3542,INLAND,142600,0,0
-119.56,36.71,1609,374,1173,344,37,2.181,INLAND,59900,0,0
-120.99,37.67,568,124,307,116,16,2.1518,INLAND,107400,0,0
