,Unnamed: 0,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,is_legendary,is_mythical,is_mega
0,0,Bulbasaur,1.0,Seed Pokemon,"['Overgrow', 'Chlorophyll']",0.7,6.9,Grass,Poison,0.0,0.0,0.0
1,1,Ivysaur,1.0,Seed Pokemon,"['Overgrow', 'Chlorophyll']",1.0,13.0,Grass,Poison,0.0,0.0,0.0
2,2,Venusaur,1.0,Seed Pokemon,"['Overgrow', 'Chlorophyll']",2.0,100.0,Grass,Poison,0.0,0.0,0.0
3,3,Mega Venusaur,1.0,Seed Pokemon,['Thick Fat'],2.4,155.5,Grass,Poison,0.0,0.0,1.0
4,4,Charmander,1.0,Lizard Pokemon,"['Blaze', 'Solar Power']",0.6,8.5,Fire,None,0.0,0.0,0.0
5,5,Charmeleon,1.0,Flame Pokemon,"['Blaze', 'Solar Power']",1.1,19.0,Fire,None,0.0,0.0,0.0
6,6,Charizard,1.0,Flame Pokemon,"['Blaze', 'Solar Power']",1.7,90.5,Fire,Flying,0.0,0.0,0.0
7,7,Mega Charizard X,1.0,Flame Pokemon,['Tough Claws'],1.7,110.5,Fire,Dragon,0.0,0.0,1.0
8,8,Mega Charizard Y,1.0,Flame Pokemon,['Drought'],1.7,100.5,Fire,Flying,0.0,0.0,1.0
9,9,Squirtle,1.0,Tiny Turtle Pokemon,"['Torrent', 'Rain Dish']",0.5,9.0,Water,None,0.0,0.0,0.0
10,10,Wartortle,1.0,Turtle Pokemon,"['Torrent', 'Rain Dish']",1.0,22.5,Water,None,0.0,0.0,0.0
11,11,Blastoise,1.0,Shellfish Pokemon,"['Torrent', 'Rain Dish']",1.6,85.5,Water,None,0.0,0.0,0.0
12,12,Mega Blastoise,1.0,Shellfish Pokemon,['Mega Launcher'],1.6,101.1,Water,None,0.0,0.0,1.0
13,13,Caterpie,1.0,Worm Pokemon,"['Shield Dust', 'Run Away']",0.3,2.9,Bug,None,0.0,0.0,0.0
14,14,Metapod,1.0,Cocoon Pokemon,['Shed Skin'],0.7,9.9,Bug,None,0.0,0.0,0.0
15,15,Butterfree,1.0,Butterfly Pokemon,"['Compound Eyes', 'Tinted Lens']",1.1,32.0,Bug,Flying,0.0,0.0,0.0
16,16,Weedle,1.0,Hairy Bug Pokemon,"['Shield Dust', 'Run Away']",0.3,3.2,Bug,Poison,0.0,0.0,0.0
17,17,Kakuna,1.0,Cocoon Pokemon,['Shed Skin'],0.6,10.0,Bug,Poison,0.0,0.0,0.0
18,18,Beedrill,1.0,Poison Bee Pokemon,"['Swarm', 'Sniper']",1.0,29.5,Bug,Poison,0.0,0.0,0.0
19,19,Mega Beedrill,1.0,Poison Bee Pokemon,['Adaptability'],1.4,40.5,Bug,Poison,0.0,0.0,1.0
20,20,Pidgey,1.0,Tiny Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.3,1.8,Normal,Flying,0.0,0.0,0.0
21,21,Pidgeotto,1.0,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.1,30.0,Normal,Flying,0.0,0.0,0.0
22,22,Pidgeot,1.0,Bird Pokemon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.5,39.5,Normal,Flying,0.0,0.0,0.0
23,23,Mega Pidgeot,1.0,Bird Pokemon,['No Guard'],2.2,50.5,Normal,Flying,0.0,0.0,1.0
24,24,Rattata,1.0,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.3,3.5,Normal,None,0.0,0.0,0.0
25,25,Alolan Rattata,1.0,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.3,3.8,Dark,Normal,0.0,0.0,0.0
26,26,Raticate,1.0,Mouse Pokemon,"['Run Away', 'Guts', 'Hustle']",0.7,18.5,Normal,None,0.0,0.0,0.0
27,27,Alolan Raticate,1.0,Mouse Pokemon,"['Gluttony', 'Hustle', 'Thick Fat']",0.7,25.5,Dark,Normal,0.0,0.0,0.0
28,28,Spearow,1.0,Tiny Bird Pokemon,"['Keen Eye', 'Sniper']",0.3,2.0,Normal,Flying,0.0,0.0,0.0
29,29,Fearow,1.0,Beak Pokemon,"['Keen Eye', 'Sniper']",1.2,38.0,Normal,Flying,0.0,0.0,0.0
30,30,Ekans,1.0,Snake Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",2.0,6.9,Poison,None,0.0,0.0,0.0
31,31,Arbok,1.0,Cobra Pokemon,"['Intimidate', 'Shed Skin', 'Unnerve']",3.5,65.0,Poison,None,0.0,0.0,0.0
32,32,Pikachu,1.0,Mouse Pokemon,"['Static', 'Lightning Rod']",0.4,6.0,Electric,None,0.0,0.0,0.0
33,33,Raichu,1.0,Mouse Pokemon,"['Static', 'Lightning Rod']",0.8,30.0,Electric,None,0.0,0.0,0.0
34,34,Alolan Raichu,1.0,Mouse Pokemon,['Surge Surfer'],0.7,21.0,Electric,Psychic,0.0,0.0,0.0
35,35,Sandshrew,1.0,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",0.6,12.0,Ground,None,0.0,0.0,0.0
36,36,Alolan Sandshrew,1.0,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",0.7,40.0,Ice,Steel,0.0,0.0,0.0
37,37,Sandslash,1.0,Mouse Pokemon,"['Sand Veil', 'Sand Rush']",1.0,29.5,Ground,None,0.0,0.0,0.0
38,38,Alolan Sandslash,1.0,Mouse Pokemon,"['Snow Cloak', 'Slush Rush']",1.2,55.0,Ice,Steel,0.0,0.0,0.0
39,39,Nidorana female,1.0,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.4,7.0,Poison,None,0.0,0.0,0.0
40,40,Nidorina,1.0,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.8,20.0,Poison,None,0.0,0.0,0.0
41,41,Nidoqueen,1.0,Drill Pokemon,"['Poison Point', 'Rivalry', 'Sheer Force']",1.3,60.0,Poison,Ground,0.0,0.0,0.0
42,42,Nidorana male,1.0,Poison Pin Pokemon,"['Poison Point', 'Rivalry', 'Hustle']",0.5,9.0,Poison,None,0.0,0.0,0.0
